# temperature/lenght/MT_cap_size/catastrophes
3.200000000000000000e+01	2.014000000000000000e+03	1.965555555555555429e+02	8.000000000000000000e+00
3.200000000000000000e+01	7.800000000000000000e+01	1.300000000000000000e+01	4.000000000000000000e+00
3.200000000000000000e+01	3.206000000000000000e+03	2.612857142857142776e+02	8.000000000000000000e+00
3.200000000000000000e+01	4.588000000000000000e+03	2.963271028037383417e+02	3.000000000000000000e+00
3.200000000000000000e+01	4.597000000000000000e+03	4.319900000000000091e+02	3.000000000000000000e+00
3.200000000000000000e+01	2.161000000000000000e+03	1.565762711864406640e+02	4.000000000000000000e+00
3.200000000000000000e+01	2.498000000000000000e+03	1.455441176470588118e+02	4.000000000000000000e+00
3.200000000000000000e+01	5.000000000000000000e+01	nan	2.000000000000000000e+00
3.200000000000000000e+01	2.091000000000000000e+03	1.335892857142857224e+02	4.000000000000000000e+00
3.200000000000000000e+01	5.442000000000000000e+03	4.727272727272727479e+02	3.000000000000000000e+00
